entity_id,paper_id,doi,source_label,canonical_name,canonical_smiles,inchikey,molecular_formula,confidence_tier,identity_status,identity_channel,source_evidence_id,source_location,rendered_page_path,source_detection_count,external_query_name,external_pubchem_cid,external_inchikey,crosscheck_basis,scientific_use_boundary
SRCENT-c424c9fb41efae8f42,OA2P-000106,10.1016/j.eurpolymj.2023.111883,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-877af16027494f2c,PDF page 10; embedded-text characters 1859-1873,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\OA2P-000106\page_0010.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-19dfb513ff81876879,ZPC-003710,10.1016/j.jphotochem.2020.112844,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-0c76178dae92d086,PDF page 1; embedded-text characters 1636-1650,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-003710\page_0001.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-aa7a9f16af2f0af37f,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 184,1-Hydroxycyclohexyl phenyl ketone,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-9d0923dc97216fe3,PDF page 2; embedded-text characters 427-438,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000304\page_0002.png,0,1-Hydroxycyclohexyl phenyl ketone,70355,QNODIIQQMGDSEF-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-980eff1ece9f559747,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 651,Benzil dimethyl ketal,COC(OC)(C(=O)c1ccccc1)c1ccccc1,KWVGIHKZDCUPEU-UHFFFAOYSA-N,C16H16O3,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-ba4b83f9d043779b,PDF page 2; embedded-text characters 472-483,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000304\page_0002.png,0,Benzil dimethyl ketal,90571,KWVGIHKZDCUPEU-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-60ad136656e7ed0d46,ZPC-005973,10.1016/j.porgcoat.2021.106214,thioxanthone,thioxanthone,O=c1c2ccccc2sc2ccccc12,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,C13H8OS,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-008a6f5c289244dc,PDF page 1; embedded-text characters 3308-3320,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005973\page_0001.png,0,thioxanthone,10295,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-adbaaf2183a501cf1e,ZPC-005497,10.1016/j.progpolymsci.2020.101277,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-92aec80c6adf1837,PDF page 5; embedded-text characters 1472-1486,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005497\page_0005.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ff6e693086a48c5b4a,ZPC-005497,10.1016/j.progpolymsci.2020.101277,thioxanthone,thioxanthone,O=c1c2ccccc2sc2ccccc12,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,C13H8OS,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-dba9b8d8c27550f2,PDF page 8; embedded-text characters 2319-2331,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005497\page_0008.png,0,thioxanthone,10295,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ffecb74a0899ec6fec,ZPC-001606,10.1021/acs.macromol.1c00761,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-5ce672d5613d98e2,PDF page 4; embedded-text characters 1879-1891,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-001606\page_0004.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-2bc07af501282a7369,ZPC-001606,10.1021/acs.macromol.1c00761,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-9eb25a21bfbd2973,PDF page 4; embedded-text characters 5022-5036,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-001606\page_0004.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-f394e00e68fa688bb6,ZPC-001606,10.1021/acs.macromol.1c00761,thioxanthone,thioxanthone,O=c1c2ccccc2sc2ccccc12,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,C13H8OS,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-c7a3df7559f192cd,PDF page 4; embedded-text characters 1909-1921,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-001606\page_0004.png,0,thioxanthone,10295,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
