link_id,record_id,cluster_id,paper_id,doi,entity_id,entity_type,molecule_id,preferred_name,matched_alias,match_start,match_end,match_basis,link_confidence,link_scope,ambiguity_status,link_status,resolved_canonical_smiles,resolved_inchikey,resolved_molecular_formula,identity_resolution_tier,identity_resolution_status,identity_resolution_source
ELINK-1347c7960831fbe41f,UKB-7a98a473d55e5372ea4f,CONDCL-dce67d02dda2aec7bd,ZPC-000304,10.1016/j.porgcoat.2018.05.008,SRCENT-150ae3be5ccf651755,source_local_unresolved,,Darocur 1173,Darocur 1173,446,458,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,A_multichannel,source_local_identity_accepted,source_text_pubchem_multiresolution_component_structure
ELINK-799ff19bb432aaa35b,UKB-7a98a473d55e5372ea4f,CONDCL-dce67d02dda2aec7bd,ZPC-000304,10.1016/j.porgcoat.2018.05.008,SRCENT-150ae3be5ccf651755,source_local_unresolved,,Darocur 1173,Darocur 1173,580,592,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,A_multichannel,source_local_identity_accepted,source_text_pubchem_multiresolution_component_structure
ELINK-cc83b779810d5703d8,UKB-7aa6af89c600ba175fa4,CONDCL-3851f727575797116d,ZPC-003074,10.1016/j.saa.2007.07.064,SRCENT-5e2ce95f52eb9ad889,source_local_unresolved,,compound 4,compound 4,3,13,source_local_PI_label_pattern,source_local_label_candidate,single_source_only,identity_unresolved,unresolved_entity_link,,,,,,
ELINK-6faf25c6c06d050749,UKB-7b911eb0739f19221884,CONDCL-367a577c21eac21921,zotero_6ZQ3VP63,10.1038/17989,MOL-f377db100e13,existing_molecule,MOL-f377db100e13,DABP,DABP,670,674,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-233ef165ed71426426,UKB-7b911eb0739f19221884,CONDCL-367a577c21eac21921,zotero_6ZQ3VP63,10.1038/17989,SRCENT-56af512470e500b83e,source_local_unresolved,,benzophenone,benzophenone,487,499,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem
ELINK-eb13c0b2c90bc01114,UKB-7b911eb0739f19221884,CONDCL-367a577c21eac21921,zotero_6ZQ3VP63,10.1038/17989,SRCENT-56af512470e500b83e,source_local_unresolved,,benzophenone,benzophenone,656,668,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem
ELINK-e2f7b3521f3df6706f,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-09627362a8bc,existing_molecule,MOL-09627362a8bc,2BTrz,2BTrz,415,420,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-d17e3b032a0ca4c927,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-8b94ae032225,existing_molecule,MOL-8b94ae032225,BTrz,BTrz,408,412,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-6c094d7f1df8ba3b77,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-c123af975c8b,existing_molecule,MOL-c123af975c8b,M2CMK,M2CMK,149,154,exact_alias_in_evidence_anchor,source_scoped_name_exact,source_scoped,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-e2acb7f1886c4557cf,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-c123af975c8b,existing_molecule,MOL-c123af975c8b,M2CMK,M2CMK,218,223,exact_alias_in_evidence_anchor,source_scoped_name_exact,source_scoped,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
