entity_id,paper_id,doi,source_label,candidate_channel,structure_candidate_id,page_number,raw_recognized_smiles,canonical_smiles,inchikey,fragment_count,contains_wildcard,rdkit_parse_ok,recognition_confidence,pairing_status,expected_text_inchikey,expected_fragment_match_count,expected_matching_fragment_smiles,other_fragment_smiles,source_location,molecule_crop_path,rendered_page_path
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,named1,PANELSTR-bf98f8b15f5e112665,8,<invalid>,,,0,false,false,0.557718,unique_panel_pair,,0,,,"PDF page 8; structure bbox (1532, 629, 1978, 778); label bbox (1496, 814, 1705, 837)",outputs\literature_kb_named_structure_refinement_batch1_20260906\structure_crops\ZPC-006106\page_0008_structure_004.png,outputs\literature_kb_named_structure_refinement_batch1_20260906\source_pages\ZPC-006106\page_0008.png
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,source,PANELSTR-fbafff0d2ae8b6423f,3,Cc1ccc(NC(=O)O/C(=C\O)CO)cc1NC(=O)OC(C)(C)C(=O)c1ccccc1.O*O,Cc1ccc(NC(=O)O/C(=C\O)CO)cc1NC(=O)OC(C)(C)C(=O)c1ccccc1.O*O,,2,true,true,0.775954,one_structure_matches_multiple_registered_labels,,0,,,"PDF page 3; structure bbox (1386, 531, 2132, 780); label bbox (1572, 817, 1777, 840)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\structure_crops\ZPC-006106\page_0003_structure_011.png,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-006106\page_0003.png
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,source,PANELSTR-c5dc6e7c1685f54b94,3,CC1=CC=C(NC(=O)OC2C(O)C(O)C([OH-])C(O)C2O)C=C1NC(=O)OC(C)(C)C(=O)C1=CC=CC=C1,,,0,false,false,0.784131,unique_panel_pair,,0,,,"PDF page 3; structure bbox (1485, 1244, 2165, 1484); label bbox (1436, 1531, 1637, 1554)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\structure_crops\ZPC-006106\page_0003_structure_010.png,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-006106\page_0003.png
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,source,PANELSTR-bf98f8b15f5e112665,8,<invalid>,,,0,false,false,0.557718,unique_panel_pair,,0,,,"PDF page 8; structure bbox (1532, 629, 1978, 778); label bbox (1496, 814, 1705, 837)",LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\structure_crops\ZPC-006106\page_0008_structure_004.png,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_structure_refinement_20260906\source_pages\ZPC-006106\page_0008.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,named1,PANELSTR-d6af7667a3f9c0df5d,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.909485,unique_panel_pair,,0,,,"PDF page 3; structure bbox (960, 2883, 1237, 3020); label bbox (994, 2976, 1024, 3014)",outputs\literature_kb_named_structure_refinement_batch1_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_named_structure_refinement_batch1_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,named1,PANELSTR-0fb6222bb05113990d,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.909485,unique_panel_pair,,0,,,"PDF page 3; structure bbox (960, 2883, 1237, 3020); label bbox (1102, 3012, 1115, 3032)",outputs\literature_kb_named_structure_refinement_batch1_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_named_structure_refinement_batch1_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,named1,PANELSTR-c98a1eb27fe674cfc5,3,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,NAGJAUCLWVEUFI-OQLLNIDSSA-N,1,false,true,0.909264,unique_panel_pair,,0,,,"PDF page 3; structure bbox (351, 3080, 669, 3221); label bbox (387, 3176, 418, 3215)",outputs\literature_kb_named_structure_refinement_batch1_20260906\structure_crops\ZPC-004234\page_0003_structure_002.png,outputs\literature_kb_named_structure_refinement_batch1_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered,PANELSTR-d6af7667a3f9c0df5d,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.909485,unique_panel_pair,,0,,,"PDF page 3; structure bbox (960, 2883, 1237, 3020); label bbox (994, 2976, 1024, 3014)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered,PANELSTR-0fb6222bb05113990d,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.909485,unique_panel_pair,,0,,,"PDF page 3; structure bbox (960, 2883, 1237, 3020); label bbox (1102, 3012, 1115, 3032)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered,PANELSTR-c98a1eb27fe674cfc5,3,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,NAGJAUCLWVEUFI-OQLLNIDSSA-N,1,false,true,0.909264,unique_panel_pair,,0,,,"PDF page 3; structure bbox (351, 3080, 669, 3221); label bbox (387, 3176, 418, 3215)",outputs\literature_kb_numbered_structure_refinement_20260906\structure_crops\ZPC-004234\page_0003_structure_002.png,outputs\literature_kb_numbered_structure_refinement_20260906\source_pages\ZPC-004234\page_0003.png
