formulation_cluster_id,cluster_id,paper_id,doi,source_lane,page_hint,field_groups,field_values_json,molecule_ids,source_local_entity_ids,preferred_names,entity_count,structure_backed_entity_count,identity_resolution,formulation_status,relative_core_signal,comsol_requirement_count,comsol_missing_requirements,strict_use_status,existing_condition_ids,crosschecked_source_local_entity_ids,crosschecked_source_local_inchikeys,identity_enrichment_status,accepted_source_local_entity_ids_v5,accepted_source_local_inchikeys_v5,accepted_source_local_entity_ids_v6,accepted_source_local_inchikeys_v6,accepted_source_local_entity_ids_v7,accepted_source_local_inchikeys_v7,accepted_source_local_entity_ids_v8,accepted_source_local_inchikeys_v8,accepted_source_local_entity_ids_v9,accepted_source_local_inchikeys_v9,accepted_source_local_entity_ids_v11,accepted_source_local_inchikeys_v11
FORM-0aa65218b03a0cc3f0,CONDCL-129cdfdca52782c411,ZPC-002687,10.1002/adem.200980012,core_two_photon,,atmosphere,"{""atmosphere"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""degassed"", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-350de6aa707119353b,CONDCL-75475ab3e03a430218,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,3,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""30% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""90% laser power"", ""raw_unit"": ""%""}]}",MOL-63120fab18fb;MOL-af0b4bf4b596,,Irgacure 369;Irgacure 819,2,0,contains_existing_name_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-4499b6a80261861761,CONDCL-c22995273f0268ebfa,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,4,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-eaf2a56c0549cee260,CONDCL-9625952abaa293ddb2,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,5,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""30% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""50% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 40%"", ""raw_unit"": ""%""}]}",MOL-63120fab18fb;MOL-66c52f7f9749,,2-isopropyl-9H-thioxanthen-9-one;Irgacure 369,2,1,contains_structure_backed_registry_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-ffdeec1b4eb6afb5e2,CONDCL-138b4884adf6852801,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,6,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 30%"", ""raw_unit"": ""%""}]}",MOL-63120fab18fb,,Irgacure 369,1,0,contains_existing_name_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-ce7cab3949da97f402,CONDCL-2ffd412ddc1cf1e8c6,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,6,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 40%"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 90%"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""40% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""50% laser power"", ""raw_unit"": ""%""}]}",MOL-66c52f7f9749;MOL-af0b4bf4b596,,2-isopropyl-9H-thioxanthen-9-one;Irgacure 819,2,1,contains_structure_backed_registry_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-f3d22ad9e1fbe6f60b,CONDCL-9385e6d01b1d9af3e4,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,6,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""254"", ""normalized_unit"": ""nm"", ""raw"": ""254 nm"", ""raw_unit"": ""nm""}, {""normalized"": ""365"", ""normalized_unit"": ""nm"", ""raw"": ""365 nm"", ""raw_unit"": ""nm""}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-53d752ac839149573f,CONDCL-80a92559f17cfe87a4,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,7,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""1 mm"", ""raw_unit"": ""mm""}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-c5a752fcf1808f3e23,CONDCL-e73b2b1b850ac3328b,ZPC-000401,10.1002/adem.202201688,out_of_scope_for_expansion,7,laser_power;objective_NA;wavelength_nm,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""57.8 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""57.8"", ""normalized_unit"": ""mW"", ""raw"": ""57.8 mW"", ""raw_unit"": ""mW""}], ""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}], ""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",,,,0,0,no_molecular_identity_detected,multi_field_condition_only_candidate,false,2,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-cf1b556f985f5819cc,CONDCL-ba616a86f27775092c,zotero_TSTS6L69,10.1002/adfm.200400212,out_of_scope_for_expansion,3,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",MOL-63120fab18fb,,Irgacure 369,1,0,contains_existing_name_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-42b9814936d0,,,,,,,,,,,,,,,
