entity_id,paper_id,doi,source_label,canonical_smiles,inchikey,molecular_formula,confidence_tier,identity_status,source_detection_count,external_query_name,external_pubchem_cid,external_inchikey,crosscheck_basis,scientific_use_boundary
SRCENT-791296db10715a1d9a,ZPC-000021,10.1016/j.dental.2015.10.013,TTMSS,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,SQMFULTZZQBFBM-UHFFFAOYSA-N,C9H28Si4,A_crosschecked,independent_database_crosschecked_source_structure,1,tris(trimethylsilyl)silane,123134,SQMFULTZZQBFBM-UHFFFAOYSA-N,same_source_abbreviation_and_full_name,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-ee2bba2365c7cd81de,ZPC-004762,10.1021/acs.macromol.8b02640,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_crosschecked,independent_database_crosschecked_source_structure,1,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_source_label,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-3f5d988f15e99eb5ab,ZPC-004762,10.1021/acs.macromol.8b02640,DDFD,CC1(C)COC(=O)C1=O,HRTOQFBQOFIFEE-UHFFFAOYSA-N,C6H8O3,A_crosschecked,independent_database_crosschecked_source_structure,1,13031-04-4,39,HRTOQFBQOFIFEE-UHFFFAOYSA-N,same_source_abbreviation_full_name_and_registry_number,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
SRCENT-602323f1037a13b7cb,ZPC-004762,10.1021/acs.macromol.8b02640,IC2959,CC(C)(O)C(=O)c1ccc(OCCO)cc1,GJKGAPPUXSSCFI-UHFFFAOYSA-N,C12H16O4,A_crosschecked,independent_database_crosschecked_source_structure,1,Irgacure 2959,86266,GJKGAPPUXSSCFI-UHFFFAOYSA-N,same_source_abbreviation_and_full_name,"Accepted for molecular identity linkage only; not accepted as evidence for experimental numerical values, model performance, or screening outcomes."
