alias_id,molecule_id,preferred_name,alias,normalized_alias,match_scope,source_dois,source_ids,molecule_role,identity_status,identity_scope,smiles,stored_inchikey,computed_inchikey,structure_validation,case_sensitive,alias_status
ALIAS-672549a33c3e15d401,MOL-909bfb70706e,"2: 2,7-bis[2-(4-methoxy-phenyl)-vinyl]anthraquinone","2: 2,7-bis[2-(4-methoxy-phenyl)-vinyl]anthraquinone",227bis24methoxyphenylvinylanthraquinone,global_exact_name,10.1016/j.jphotochem.2007.03.002,zotero_95TT3IKI,photoinitiator_or_photosensitizer,explicit_field,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-3edb8569e79400a183,MOL-92f77de6e759,ketone-based PIs,ketone-based PIs,ketonebasedpis,global_exact_name,10.1021/ma9007785,ZPC-000028,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-942b032c712e7d6237,MOL-9843439b053e,BNBC,BNBC,bnbc,global_exact_name,10.1166/jnn.2013.6011,ZPC-000385; zotero_D47BE9ZL,photoinitiator_or_photosensitizer,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-929f33a9de1b7938f3,MOL-98544b0f877d,EO,EO,eo,source_scoped,10.1364/ao.54.007020,zotero_GAG9RQRT,sensitizer_or_component,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-37c40f8686012a6080,MOL-9a94e5c2d2a1,acrylate resin mixture,acrylate resin mixture,acrylateresinmixture,global_exact_name,10.1016/j.apsusc.2007.08.011,zotero_IYEGSI2X,resin_or_matrix,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-cd4cf21b6f657f0018,MOL-9fc85e3c36da,O3K,O3K,o3k,source_scoped,10.1021/ma9007785,ZPC-000028; zotero_XAY2YYCX,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,true,eligible_exact_alias
ALIAS-bb8e9f9fcb091fd712,MOL-a18179c189b5,aqueous sample,aqueous sample,aqueoussample,global_exact_name,10.1016/j.jphotochem.2009.02.007,zotero_MZLGYQTP,photoinitiator_or_photosensitizer,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-482ec67d249f2d5872,MOL-a38860411172,2-isopropyl-7-(4-methoxyphenyl)-9H-thioxanthen-9-one,2-isopropyl-7-(4-methoxyphenyl)-9H-thioxanthen-9-one,2isopropyl74methoxyphenyl9hthioxanthen9one,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,COc1ccc(-c2ccc3sc4ccc(C(C)C)cc4c(=O)c3c2)cc1,QIPGPZLZOLNAFE-UHFFFAOYSA-N,QIPGPZLZOLNAFE-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-fe4391c13ee13ea97d,MOL-a38860411172,2-isopropyl-7-(4-methoxyphenyl)-9H-thioxanthen-9-one,ITX-phenyl-OCH3,itxphenyloch3,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,COc1ccc(-c2ccc3sc4ccc(C(C)C)cc4c(=O)c3c2)cc1,QIPGPZLZOLNAFE-UHFFFAOYSA-N,QIPGPZLZOLNAFE-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-34b69f9b4dd8ab25d8,MOL-a45a776dd668,biodegradable methacrylate polymer,biodegradable methacrylate polymer,biodegradablemethacrylatepolymer,global_exact_name,10.1021/la803803m,zotero_H86SV53N,resin_or_matrix,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-fe1a551ed0069fbb66,MOL-a6418a9007c2,EPI,EPI,epi,source_scoped,10.1088/1758-5082/3/2/025003,zotero_X4RTKEJL,photoinitiator_or_photosensitizer,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-870591cf2c4c3a9ad3,MOL-af0b4bf4b596,Irgacure 819,Irgacure 819,irgacure819,global_exact_name,10.1038/s41598-017-17391-1;10.1109/icop56156.2022.9911711;10.1364/ome.5.000456;10.37188/lam.2023.004,Ge2023; Harnisch2015; ZPC-001953; zotero_AU74BQZ6; zotero_LF43QEJD,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-5f38ed1ff7fcb503e4,MOL-b4c0e0e497a9,complex A,complex A,complexa,source_scoped,10.1016/j.jphotochem.2009.02.007,zotero_MZLGYQTP,photoinitiator_or_photosensitizer,explicit_field,source_scoped,,,,not_available,false,eligible_exact_alias
